year,total,men,women,,
2002/03,1275,427,848,,
2003/04,1711,498,1213,,
2004/05,2035,589,1442,,
2005/06,2564,746,1786,,
2006/07,3862,1047,2807,,
2007/08,5018,1405,3613,,
2008/09,7988,2077,5910,,
2009/10,10571,2495,8074,,
2010/11,11574,2919,8654,,
2011/12,11736,2993,8740,,
2012/13,10957,2950,8007,,
